room_dim_meter,theta_true,RSS1_dB,RSS2_dB
2,-58,-34.49557098,-57.53921765
2,-57,-34.20115725,-57.52741023
2,-56,-33.91810039,-57.5115106
2,-55,-33.64498284,-57.49107845
2,-54,-33.38378122,-57.462471
2,-53,-33.1319874,-57.42676046
2,-52,-32.89280662,-57.37731427
2,-51,-32.66238069,-57.31771295
2,-50,-32.44537875,-57.237259
2,-49,-32.23638141,-57.143373
2,-48,-32.04170859,-57.02021669
2,-47,-31.8542166,-56.88071644
2,-46,-31.68201501,-56.70297752
2,-45,-31.51612036,-56.50727052
2,-44,-31.36652327,-56.2650406
2,-43,-31.22233219,-56.00552888
2,-42,-31.09546331,-55.69329569
2,-41,-30.97309521,-55.36743768
2,-40,-30.86906793,-54.98575597
2,-39,-30.76865423,-54.5969433
2,-38,-30.68757073,-54.15247656
2,-37,-30.60925345,-53.70924146
2,-36,-30.55120362,-53.21314458
2,-35,-30.49513375,-52.72712877
2,-34,-30.46019376,-52.19261385
2,-33,-30.42652918,-51.67627795
2,-32,-30.41475963,-51.11639669
2,-31,-30.40366245,-50.58127934
2,-30,-30.4151901,-50.00750804
2,-29,-30.42744272,-49.46331016
2,-28,-30.46219113,-48.88505585
2,-27,-30.49771672,-48.33902311
2,-26,-30.55526777,-47.76436254
2,-25,-30.6141696,-47.22161066
2,-24,-30.69453943,-46.65585204
2,-23,-30.77689495,-46.1208024
2,-22,-30.88007902,-45.56756442
2,-21,-30.98593532,-45.04342961
2,-20,-31.11190232,-44.50524086
2,-19,-31.24127128,-43.99433467
2,-18,-31.38995697,-43.47293918
2,-17,-31.54281047,-42.97692477
2,-16,-31.71411156,-42.47351503
2,-15,-31.89037686,-41.99359247
2,-14,-32.08414535,-41.50898
2,-13,-32.28370081,-41.04602344
2,-12,-32.49973882,-40.58076062
2,-11,-32.72241038,-40.13541648
2,-10,-32.96046569,-39.68988231
2,-9,-33.20602394,-39.26263888
2,-8,-33.46578646,-38.8370988
2,-7,-33.7339447,-38.42833541
2,-6,-34.01504383,-38.02298288
2,-5,-34.30545686,-37.63300455
2,-4,-34.60745986,-37.24798983
2,-3,-34.91972363,-36.87705179
2,-2,-35.24213477,-36.51250178
2,-1,-35.5757866,-36.16082686
2,0,-35.91804705,-35.81685858
2,1,-36.27256616,-35.48464947
2,2,-36.63405405,-35.16137913
2,3,-37.00886199,-34.84882698
2,4,-37.38889229,-34.54637573
2,5,-37.78335245,-34.25366617
2,6,-38.1811758,-33.97216343
2,7,-38.59459125,-33.69948056
2,8,-39.00939065,-33.43906569
2,9,-39.44099898,-33.18659464
2,10,-39.871883,-32.94741733
2,11,-40.32084656,-32.71534586
2,12,-40.76683712,-32.4975656
2,13,-41.23222647,-32.28608499
2,14,-41.69223897,-32.08987
2,15,-42.17300691,-31.8991755
2,16,-42.64581972,-31.72470128
2,17,-43.14076256,-31.55499236
2,18,-43.62497256,-31.40244005
2,19,-44.13267475,-31.25392056
2,20,-44.62663528,-31.12347509
2,21,-45.14539331,-30.99635332
2,22,-45.64713102,-30.88820153
2,23,-46.17485281,-30.78269028
2,24,-46.68196134,-30.69701876
2,25,-47.21603957,-30.61333523
2,26,-47.72555132,-30.55032788
2,27,-48.2627136,-30.48869334
2,28,-48.77095777,-30.44852853
2,29,-49.30692579,-30.40916762
2,30,-49.81021437,-30.3920147
2,31,-50.33891433,-30.37560415
2,32,-50.83230061,-30.3818222
2,33,-51.3474177,-30.388715
2,34,-51.82466903,-30.41779301
2,35,-52.31904903,-30.44814594
2,36,-52.77316139,-30.50018129
2,37,-53.23904479,-30.55421183
2,38,-53.66267509,-30.6292902
2,39,-54.09230465,-30.70718553
2,40,-54.47848098,-30.80537659
2,41,-54.86497592,-30.90728659
2,42,-55.2080034,-31.02863935
2,43,-55.54634231,-31.15466911
2,44,-55.84269063,-31.29920714
2,45,-56.13052426,-31.4494094
2,46,-56.37940989,-31.61712595
2,47,-56.61741555,-31.79149377
