room_dim_meter,theta1_true,theta2_true,RSS1_combined,RSS2_combined,d1,d2
8,1.471127674,-1.510868172,3.93E-05,5.47E-05,3.014962686,5.008991915
8,1.464060654,-1.513167899,2.64E-05,7.64E-05,2.816025568,5.208646657
8,1.455919721,-1.515297822,2.71E-05,6.49E-05,2.617250466,5.408326913
8,1.446441332,-1.517276058,4.57E-05,7.93E-05,2.418677324,5.608029957
8,1.435268613,-1.519118242,2.34E-05,9.45E-05,2.220360331,5.807753438
8,1.421906379,-1.520837931,3.39E-05,9.11E-05,2.022374842,6.007495318
8,1.405647649,-1.52244694,4.80E-05,0.000122746,1.824828759,6.207253821
8,1.385448377,-1.523955614,4.66E-06,0.000132205,1.62788206,6.407027392
8,1.359702994,-1.525373047,5.69E-05,0.000173075,1.431782106,6.606814664
8,1.325817664,-1.526707269,1.90E-05,0.000236659,1.236931688,6.80661443
8,1.279339532,-1.527965394,6.34E-05,0.000409899,1.044030651,7.006425622
8,1.212025657,-1.529153748,4.93E-05,0.000938033,0.854400375,7.20624729
8,1.107148718,-1.530277974,0.000164352,0.003097735,0.670820393,7.406078585
8,0.927295218,-1.531343126,0.000498506,0.012806492,0.5,7.605918748
8,0.588002604,-1.532353737,0.00146118,0.01124859,0.360555128,7.805767099
8,0,-1.53331389,0.070281536,0.073255577,0.3,8.005623024
8,-0.588002604,-1.534227271,0.018331751,0.001283822,0.360555128,8.20548597
8,-0.927295218,-1.535097214,0.013391894,0.000582164,0.5,8.405355436
8,-1.107148718,-1.535926745,0.003778677,0.000232321,0.670820393,8.605230967
8,-1.212025657,-1.536718615,0.001324418,0.00012713,0.854400375,8.805112151
8,-1.279339532,-1.537475331,0.000650924,8.76E-05,1.044030651,9.004998612
8,-1.325817664,-1.538199182,0.000398053,6.38E-05,1.236931688,9.204890005
8,-1.359702994,-1.538892262,0.00027051,4.83E-05,1.431782106,9.404786016
8,-1.385448377,-1.539556493,0.000196768,3.80E-05,1.62788206,9.604686356
8,-1.405647649,-1.540193639,0.000151698,3.11E-05,1.824828759,9.804590761
8,-1.421906379,-1.540805322,0.000123012,2.68E-05,2.022374842,10.00449899
8,-1.435268613,-1.541393039,0.000103371,2.42E-05,2.220360331,10.20441081
8,-1.446441332,-1.54195817,8.97E-05,2.19E-05,2.418677324,10.40432602
