RSS1_LoS1,RSS2_LoS1,RSS1_LoS2,RSS2_LoS2,RSS1_combined,RSS2_combined,d1,d2,room_dim_meter,theta1_true,theta2_true
1.69E-05,7.51E-05,4.20E-05,1.18E-05,0.0000588,0.0000785,2.844292535,5.223983172,8.000000022,1.394087471,-1.47493718
1.79E-05,8.39E-05,3.99E-05,1.13E-05,0.0000269,0.0000868,2.647640461,5.423098741,7.999999998,1.380808039,-1.478466992
1.91E-05,9.55E-05,3.80E-05,1.09E-05,0.000051,0.0000906,2.451530139,5.622277109,7.999999995,1.365400938,-1.481746744
2.05E-05,0.000112264,3.63E-05,1.04E-05,0.0000367,0.000119477,2.256102838,5.821511858,8.000000031,1.347319726,-1.484802036
2.23E-05,0.000138174,3.48E-05,1.01E-05,0.000043,0.000131239,2.061552816,6.020797296,8.00000001,1.325817664,-1.487655095
2.49E-05,0.000182271,3.33E-05,9.72E-06,0.0000396,0.000188353,1.868154166,6.220128652,8.000000033,1.299849476,-1.490325316
2.96E-05,0.000264937,3.20E-05,9.39E-06,0.0000504,0.000262434,1.676305459,6.419501541,8,1.267911458,-1.492829693
3.89E-05,0.000432253,3.08E-05,9.08E-06,0.0000239,0.000428914,1.486606873,6.618912336,8.000000037,1.227772386,-1.495183184
5.88E-05,0.000799137,2.96E-05,8.79E-06,0.0000877,0.000807897,1.3,6.818357583,8.000000009,1.176005207,-1.497399001
0.000102041,0.001669464,2.86E-05,8.52E-06,0.000110981,0.001670224,1.118033989,7.017834423,8,1.107148718,-1.499488862
0.000197116,0.00387245,2.76E-05,8.27E-06,0.000182442,0.0038704,0.943398113,7.217340219,7.999999988,1.012197011,-1.501463193
0.000410381,0.008956033,2.67E-05,8.03E-06,0.00041358,0.008963634,0.781024968,7.416872626,7.99999997,0.876058051,-1.503331302
0.000828776,0.009803968,2.58E-05,7.80E-06,0.000817863,0.009802676,0.640312424,7.616429582,7.999999972,0.674740942,-1.505101525
0.002314721,0.047694417,2.50E-05,7.58E-06,0.002330202,0.047700228,0.538516481,7.816009217,8.000000005,0.380506377,-1.506781349
0.052821441,0.054286085,2.43E-05,7.38E-06,0.052814157,0.054293106,0.5,8.015609797,8.000000026,0,-1.508377517
0.052063492,0.00297088,2.36E-05,7.19E-06,0.052079997,0.002973716,0.538516481,8.215229825,8.000000066,-0.380506377,-1.509896119
0.008779317,0.000761686,2.29E-05,7.00E-06,0.008797866,0.000757155,0.640312424,8.414867726,7.999999931,-0.674740942,-1.511342667
0.009202297,0.000456057,2.23E-05,6.83E-06,0.009187132,0.000460945,0.781024968,8.614522587,7.999999965,-0.876058051,-1.512722167
0.004354214,0.000255478,2.17E-05,6.66E-06,0.004351387,0.000251623,0.943398113,8.814193104,8.000000005,-1.012197011,-1.514039169
0.00205623,0.000152203,2.11E-05,6.51E-06,0.002071241,0.000155306,1.118033989,9.013878262,8.000000073,-1.107148718,-1.515297822
