step,metric,value
70,train/mix_var,50.626548767089844
70,train/decoder_recon_mae_4rss,13.425760269165039
70,train/m3_enabled,1.0
70,train/m3_gate_mean,0.0
70,train/m3_gate_p10,0.0
70,train/m3_gate_p90,0.0
70,train/m3_keep_ratio,0.0
70,train/m3_resid_abs_mean_deg,0.0
70,train/m3_resid_abs_p90_deg,0.0
70,train/m3_delta_clip_rate,0.0
70,train/m3_kappa_corr_spearman,-0.3779325513196481
70,train/m3_residual_penalty,0.0
70,train/m3_gate_entropy,1.4828788152954075e-05
70,train/m3_gate_threshold,0.15
70,train/m3_gate_temp_tau,1.5
70,train/m3_delta_cap_deg_effective,2.0
70,train/m3_gain_applied,1.0
70,train/m3_resid_dir_agree_rate,1.0
70,train/m3_improve_rate_1deg,0.0
70,train/m3_worsen_rate_1deg,0.0
70,train/m3_err_delta_mean_deg,-9.313225746154785e-09
70,train/phi_quality_improve_corr,-0.09347507331378299
70,train/grad_norm_m3,0.0
80,train/loss_total,-2.123098373413086
80,train/sup0_nll,-1.0910662412643433
80,train/sup1_nll,-1.0320320129394531
80,train/recon_data_raw,254.34033203125
80,train/recon_mix_norm,3.5855460166931152
80,train/recon_mix_raw,202.02899169921875
80,train/recon_phys,0.0
80,train/deg_rmse,6.578980445861816
80,train/kappa_mean,39.501068115234375
80,train/mix_weight,0.0
80,train/mix_weighted_norm,0.0
80,train/mix_var,56.34539031982422
80,train/decoder_recon_mae_4rss,14.52369213104248
80,train/m3_enabled,1.0
80,train/m3_gate_mean,0.0
80,train/m3_gate_p10,0.0
80,train/m3_gate_p90,0.0
80,train/m3_keep_ratio,0.0
80,train/m3_resid_abs_mean_deg,0.0
80,train/m3_resid_abs_p90_deg,0.0
80,train/m3_delta_clip_rate,0.0
80,train/m3_kappa_corr_spearman,-0.3936950146627566
80,train/m3_residual_penalty,0.0
80,train/m3_gate_entropy,1.4828788152954075e-05
80,train/m3_gate_threshold,0.15
80,train/m3_gate_temp_tau,1.5
80,train/m3_delta_cap_deg_effective,2.0
80,train/m3_gain_applied,1.0
80,train/m3_resid_dir_agree_rate,1.0
80,train/m3_improve_rate_1deg,0.0
80,train/m3_worsen_rate_1deg,0.0
80,train/m3_err_delta_mean_deg,4.842877388000488e-08
80,train/phi_quality_improve_corr,-0.06414956011730205
80,train/grad_norm_m3,0.0
90,train/loss_total,-1.6742147207260132
90,train/sup0_nll,-0.8251915574073792
90,train/sup1_nll,-0.8490233421325684
90,train/recon_data_raw,294.46832275390625
90,train/recon_mix_norm,4.096736907958984
90,train/recon_mix_raw,238.4269561767578
90,train/recon_phys,0.0
90,train/deg_rmse,7.118919372558594
90,train/kappa_mean,38.94615173339844
90,train/mix_weight,0.0
90,train/mix_weighted_norm,0.0
90,train/mix_var,58.19923400878906
90,train/decoder_recon_mae_4rss,15.905396461486816
90,train/m3_enabled,1.0
90,train/m3_gate_mean,0.0
90,train/m3_gate_p10,0.0
90,train/m3_gate_p90,0.0
90,train/m3_keep_ratio,0.0
90,train/m3_resid_abs_mean_deg,0.0
90,train/m3_resid_abs_p90_deg,0.0
90,train/m3_delta_clip_rate,0.0
90,train/m3_kappa_corr_spearman,-0.3878299120234604
90,train/m3_residual_penalty,0.0
90,train/m3_gate_entropy,1.4828788152954075e-05
90,train/m3_gate_threshold,0.15
90,train/m3_gate_temp_tau,1.5
90,train/m3_delta_cap_deg_effective,2.0
90,train/m3_gain_applied,1.0
90,train/m3_resid_dir_agree_rate,1.0
90,train/m3_improve_rate_1deg,0.0
90,train/m3_worsen_rate_1deg,0.0
90,train/m3_err_delta_mean_deg,4.5727938413619995e-07
90,train/phi_quality_improve_corr,0.06195014662756598
90,train/grad_norm_m3,0.0
100,train/loss_total,-2.4635322093963623
100,train/sup0_nll,-1.2861499786376953
100,train/sup1_nll,-1.177382230758667
100,train/recon_data_raw,262.77691650390625
100,train/recon_mix_norm,5.230666160583496
100,train/recon_mix_raw,201.16436767578125
100,train/recon_phys,0.0
100,train/deg_rmse,5.690782070159912
100,train/kappa_mean,41.294158935546875
100,train/mix_weight,0.0
100,train/mix_weighted_norm,0.0
100,train/mix_var,38.45865249633789
100,train/decoder_recon_mae_4rss,15.161747932434082
