sample_id,split,domain_id,is_labeled,rss1_combined_dbm,rss2_combined_dbm,delta_db,sum_db,log_ratio,c1_dbm,c2_dbm,rss_a_p1_dbm,rss_b_p1_dbm,rss_a_p2_dbm,rss_b_p2_dbm,theta1_rad,theta2_rad,d1_m,d2_m,room_dim_m,mask_4rss_is_gt
5317,train,0,1,2.1031584394317675,-9.713962171039414,-11.817120610471182,-7.610803731607646,-2.720992575978364,2.1031584394317675,-9.713962171039414,2.187142801098177,-10.017406615763013,-13.372421683184259,-21.30181792020672,-0.800781565,-1.294835845,4.596737973,11.74436036,8.000000013,1
5318,train,0,1,1.7672342103804273,-10.074464821678644,-11.841699032059072,-8.307230611298216,-2.726651966694124,1.7672342103804273,-10.074464821678644,1.8314252690241024,-10.385789059335517,-13.575354797578786,-21.432711096171175,-0.830144395,-1.299401046,4.742362281,11.93691753,8.000000004,1
5319,train,0,1,1.3132604247463873,-10.423927129399049,-11.737187554145436,-9.110666704652662,-2.7025873095850526,1.3132604247463873,-10.423927129399049,1.4103126941068234,-10.767559813697234,-13.777859770337047,-21.56144577376839,-0.857735494,-1.303821212,4.891829924,12.12971558,8.000000002,1
5320,train,0,1,0.8013997784377753,-10.936649581949094,-11.738049360386869,-10.13524980351132,-2.7027857478055095,0.8013997784377753,-10.936649581949094,0.94388664258029,-11.15771230367396,-13.968556273798178,-21.687703061329366,-0.883672117,-1.308102981,5.044799304,12.32274318,7.999999976,1
5321,train,0,1,0.9687144594566043,0.8326068052549719,-0.1361076542016324,1.8013212647115762,-0.03133994556070667,0.9687144594566043,0.8326068052549719,-11.191864077192086,1.07284946832056,0.7758481663398755,-11.33712660915805,0.853784507,-0.878461892,5.173973328,5.326349593,7.999999999,1
5322,train,0,1,0.2613923834277724,1.7229198415186662,1.461527458090894,1.9843122249464384,0.3365291338001572,0.2613923834277724,1.7229198415186662,-10.716041477432864,1.5261088702969166,0.3114457544687708,-11.713401034646802,0.827626566,-0.901753329,5.024937813,5.481788032,8.000000007,1
5323,train,0,1,-0.27757345401988404,1.7832415236611268,2.060814977681011,1.5056680696412428,0.47452018470271523,-0.27757345401988404,1.7832415236611268,-10.25028005701931,1.9203666543755717,-0.16966254668699338,-12.083093509798818,0.799889902,-0.923749134,4.879549157,5.640035464,8.000000001,1
5324,train,0,1,-0.35218681101109184,2.331271408883491,2.683458219894583,1.9790845978723994,0.6178890894801605,-0.35218681101109184,2.331271408883491,-9.802566173739624,2.239131616050803,-0.6621265659005995,-12.464169411070934,0.770473898,-0.944534889,4.738143094,5.800862003,7.999999995,1
5325,train,0,1,-1.5395560941772048,2.3633316566756672,3.902887750852872,0.8237755624984624,0.8986731154742882,-1.5395560941772048,2.3633316566756672,-9.394872462947209,2.4475816640686494,-1.1623695750160083,-12.839966563652007,0.739277047,-0.964191218,4.601086827,5.964059019,7.999999996,1
5326,train,0,1,-1.3397627197722348,2.592715022489682,3.9324777422619173,1.2529523027174474,0.9054864627863171,-1.3397627197722348,2.592715022489682,-9.062002229825406,2.4879960215344368,-1.6646149796508738,-13.214816209598862,0.706199092,-0.982793723,4.468780593,6.129437166,7.999999995,1
5327,train,0,1,-1.7849105693070508,2.177081402134839,3.96199197144189,0.3921708328277882,0.9122823652004186,-1.7849105693070508,2.177081402134839,-8.868993278583732,2.280752862380934,-2.1661173672991203,-13.575354797578786,0.671143835,-1.000413045,4.341658668,6.296824595,7.999999996,1
5328,train,0,1,-3.829744831171217,1.6203988989872418,5.450143730158459,-2.2093459321839752,1.254941970773783,-3.829744831171217,1.6203988989872418,-8.944353189496393,1.6508162075269373,-2.663766770929867,-13.946949538588907,0.63402272,-1.017115005,4.22018957,6.466065268,8.000000006,1
5329,train,0,1,-3.2574343583921856,0.2840978549914856,3.5415322133836713,-2.9733365034007,0.8154679280895448,-3.2574343583921856,0.2840978549914856,-9.591248283053503,0.175091321420193,-3.155837609579461,-14.306260903849541,0.594759257,-1.0329608,4.104875149,6.637017401,7.999999996,1
5330,train,0,1,-3.3336035915396027,-3.4201532997952504,-0.08654970825564767,-6.753756891334853,-0.019928806803243816,-3.3336035915396027,-3.4201532997952504,-11.911141326401879,-3.6518832087586235,-3.6409221889183123,-14.659738939438649,0.553294325,-1.048007241,3.99624824,6.80955211,7.999999993,1
5331,train,0,1,-4.229818163246969,-1.5218373544200712,2.7079808088268975,-5.751655517667039,0.6235356242518774,-4.229818163246969,-1.5218373544200712,-15.346171485515816,-1.3312808644283136,-4.116789825192445,-15.00312917381596,0.509592265,-1.062307003,3.894868419,6.983552108,8.000000005,1
5332,train,0,1,-3.109434424370158,3.011009970075707,6.120444394445865,-0.09842445429445101,1.4092844025150015,-3.109434424370158,3.011009970075707,-6.972298031121124,3.0094529998191266,-4.584007889500431,-15.331323796458904,0.463647609,-1.075908884,3.801315562,7.158910527,7.999999995,1
5333,train,0,1,-1.3909089745292524,5.578657979034367,6.9695669535636195,4.187749004505115,1.6048020971899515,-1.3909089745292524,5.578657979034367,-3.0753116072817455,5.5554049029437085,-5.041810198955026,-15.670307091255943,0.415492096,-1.088858075,3.716180835,7.335529976,8.000000002,1
