step,metric,value
470,train/recon_mix_raw,958.3070678710938
470,train/recon_phys,0.0
470,train/deg_rmse,10.3960542678833
470,train/kappa_mean,16.666767120361328
470,train/mix_weight,0.0
470,train/mix_weighted_norm,0.0
470,train/mix_var,48.0130729675293
480,train/loss_total,-0.3437230587005615
480,train/sup0_nll,0.06515957415103912
480,train/sup1_nll,-0.40888261795043945
480,train/recon_data_raw,1198.6590576171875
480,train/recon_mix_norm,15.857965469360352
480,train/recon_mix_raw,876.17236328125
480,train/recon_phys,0.0
480,train/deg_rmse,8.708605766296387
480,train/kappa_mean,17.57503318786621
480,train/mix_weight,0.0
480,train/mix_weighted_norm,0.0
480,train/mix_var,55.25124740600586
490,train/loss_total,0.4915553629398346
490,train/sup0_nll,0.41106125712394714
490,train/sup1_nll,0.08049410581588745
490,train/recon_data_raw,1325.4052734375
490,train/recon_mix_norm,18.13652992248535
490,train/recon_mix_raw,1026.0740966796875
490,train/recon_phys,0.0
490,train/deg_rmse,11.703083992004395
490,train/kappa_mean,16.555978775024414
490,train/mix_weight,0.0
490,train/mix_weighted_norm,0.0
490,train/mix_var,56.57499694824219
500,train/loss_total,-0.9711724519729614
500,train/sup0_nll,-0.4385721981525421
500,train/sup1_nll,-0.5326002836227417
500,train/recon_data_raw,1252.8011474609375
500,train/recon_mix_norm,20.136322021484375
500,train/recon_mix_raw,961.7318115234375
500,train/recon_phys,0.0
500,train/deg_rmse,7.720699310302734
500,train/kappa_mean,16.760042190551758
500,train/mix_weight,0.0
500,train/mix_weighted_norm,0.0
500,train/mix_var,47.76104736328125
510,train/loss_total,1.004073977470398
510,train/sup0_nll,-0.3589423894882202
510,train/sup1_nll,-0.30091914534568787
510,train/recon_data_raw,985.7490844726562
510,train/recon_mix_norm,12.61223030090332
510,train/recon_mix_raw,728.68115234375
510,train/recon_phys,0.0
510,train/deg_rmse,9.185060501098633
510,train/kappa_mean,17.83026885986328
510,train/mix_weight,0.0016666666666666668
510,train/mix_weighted_norm,0.02102038450539112
510,train/mix_var,57.7757568359375
520,train/loss_total,1.4304547309875488
520,train/sup0_nll,-0.2783985137939453
520,train/sup1_nll,-0.29603031277656555
520,train/recon_data_raw,593.00732421875
520,train/recon_mix_norm,8.457724571228027
520,train/recon_mix_raw,381.29742431640625
520,train/recon_phys,0.0
520,train/deg_rmse,9.428683280944824
520,train/kappa_mean,17.98822593688965
520,train/mix_weight,0.0033333333333333335
520,train/mix_weighted_norm,0.028192415833473206
520,train/mix_var,45.082740783691406
530,train/loss_total,1.3621466159820557
530,train/sup0_nll,-0.1878073811531067
