sample_id,split,domain_id,is_labeled,c1_rel_db,c2_rel_db,delta_rel_db,sum_rel_db,log_ratio,c1_dbm,c2_dbm,rss_a_p1_rel_db,rss_b_p1_rel_db,rss_a_p2_rel_db,rss_b_p2_rel_db,theta1_rad,theta2_rad,d1_m,d2_m,room_dim_m,mask_4rss_is_gt
2159,train,0,1,-29.460024404141357,-22.202103555844296,7.257920848297061,-51.66212795998565,1.6711980351419513,-59.46002440414136,-52.202103555844296,-29.638251956503858,-22.206868303961336,-36.341321735938735,-46.53647025549361,0.35877067,-1.130953744,3.417601498,7.515317692,8.0,1
2160,train,0,1,-27.553211879641914,-20.921963926496968,6.631247953144946,-48.47517580613888,1.526901268485883,-57.553211879641914,-50.92196392649697,-27.1817652666317,-20.910851351427798,-36.773838174322876,-46.840296545430824,0.302884868,-1.142018299,3.352610922,7.696752556,7.999999992,1
2161,train,0,1,-25.05374201632217,-20.027576906960224,5.026165109361944,-45.081318923282396,1.15731728557436,-55.05374201632217,-50.02757690696022,-25.099136403823174,-20.020068575203737,-37.196105933874925,-47.14442690992226,0.244978663,-1.152571997,3.2984845,7.879086238,7.999999996,1
2162,train,0,1,-23.38426384143348,-19.492091155039446,3.8921726863940336,-42.87635499647293,0.896205880704949,-53.38426384143348,-49.49209115503945,-23.345609517329457,-19.485895639268872,-37.601026825106786,-47.42321425130815,0.18534795,-1.162647223,3.255764119,8.062257748,8.0,1
2163,train,0,1,-21.988505604624994,-19.28633636937547,2.7021692352495243,-41.274841974000466,0.6221974599832671,-51.98850560462499,-49.28633636937547,-21.898441289707712,-19.292495513264743,-37.997269393700904,-47.695510786217255,0.124354995,-1.172273881,3.2249031,8.246211249,7.999999999,1
2164,train,0,1,-20.70501733376995,-19.427526482645458,1.2774908511244902,-40.13254381641541,0.29415313902355267,-50.705017333769945,-49.42752648264546,-20.753578677520142,-19.422934728371377,-38.37913759759145,-47.95880017344075,0.06241881,-1.181479605,3.206243908,8.430895564,8.000000001,1
2165,train,0,1,-19.86493634258214,-19.88131910861763,-0.01638276603549116,-39.74625545119977,-0.0037722712855332665,-49.86493634258214,-49.88131910861763,-19.917169363749906,-19.87497395252638,-38.75231757437493,-48.210230527068305,0.0,-1.19028995,3.2,8.616263698,8.000000007,1
2166,train,0,1,-19.34964483768156,-20.644100648693954,-1.2944558110123943,-39.993745486375516,-0.29805946539766554,-49.34964483768156,-50.64410064869395,-19.39575360141144,-20.640450673067548,-39.108263901005785,-48.477116556169435,-0.06241881,-1.198728568,3.206243908,8.802272435,8.000000001,1
2167,train,0,1,-19.209593071500404,-21.704431876413615,-2.4948388049132113,-40.914024947914015,-0.5744578641616245,-49.20959307150041,-51.704431876413615,-19.19625794563155,-21.71220141351072,-39.45708764266214,-48.69666231504994,-0.124354995,-1.20681737,3.2249031,8.988882015,7.999999991,1
2168,train,0,1,-19.292119881025794,-23.084210789970566,-3.792090908944772,-42.37633067099636,-0.8731611998214474,-49.2921198810258,-53.08421078997057,-19.318147692804672,-23.082925491126105,-39.79166554541858,-48.92790030352131,-0.18534795,-1.214576671,3.255764119,9.176055788,7.99999999,1
